arria_stable_lock0,arria_stable_lock1,arria_stable_lock2,arria_stable_lock3,arria_stable_lock4,arria_stable_lock5,arria_stable_lock6,arria_stable_lock7,arria_stable_lock8,arria_stable_lock9,arria_ber0,arria_ber1,arria_ber2,arria_ber3,arria_ber4,arria_ber5,arria_ber6,arria_ber7,arria_ber8,arria_ber9,arria_errors0,arria_errors1,arria_errors2,arria_errors3,arria_errors4,arria_errors5,arria_errors6,arria_errors7,arria_errors8,arria_errors9,arria_rx_count0,arria_rx_count1,arria_rx_count2,arria_rx_count3,arria_rx_count4,arria_rx_count5,arria_rx_count6,arria_rx_count7,arria_rx_count8,arria_rx_count9,vod0,vod1,vod2,vod3,vod4,vod5,vod6,vod7,vod8,vod9,pre_emp_1st_post_tap0,pre_emp_1st_post_tap1,pre_emp_1st_post_tap2,pre_emp_1st_post_tap3,pre_emp_1st_post_tap4,pre_emp_1st_post_tap5,pre_emp_1st_post_tap6,pre_emp_1st_post_tap7,pre_emp_1st_post_tap8,pre_emp_1st_post_tap9,pre_emp_2nd_post_tap0,pre_emp_2nd_post_tap1,pre_emp_2nd_post_tap2,pre_emp_2nd_post_tap3,pre_emp_2nd_post_tap4,pre_emp_2nd_post_tap5,pre_emp_2nd_post_tap6,pre_emp_2nd_post_tap7,pre_emp_2nd_post_tap8,pre_emp_2nd_post_tap9,pre_emp_1st_pre_tap0,pre_emp_1st_pre_tap1,pre_emp_1st_pre_tap2,pre_emp_1st_pre_tap3,pre_emp_1st_pre_tap4,pre_emp_1st_pre_tap5,pre_emp_1st_pre_tap6,pre_emp_1st_pre_tap7,pre_emp_1st_pre_tap8,pre_emp_1st_pre_tap9,pre_emp_2nd_pre_tap0,pre_emp_2nd_pre_tap1,pre_emp_2nd_pre_tap2,pre_emp_2nd_pre_tap3,pre_emp_2nd_pre_tap4,pre_emp_2nd_pre_tap5,pre_emp_2nd_pre_tap6,pre_emp_2nd_pre_tap7,pre_emp_2nd_pre_tap8,pre_emp_2nd_pre_tap9,equalizer_engine0,equalizer_engine1,equalizer_engine2,equalizer_engine3,equalizer_engine4,equalizer_engine5,equalizer_engine6,equalizer_engine7,equalizer_engine8,equalizer_engine9,dc_gain0,dc_gain1,dc_gain2,dc_gain3,dc_gain4,dc_gain5,dc_gain6,dc_gain7,dc_gain8,dc_gain9,ac_gain0,ac_gain1,ac_gain2,ac_gain3,ac_gain4,ac_gain5,ac_gain6,ac_gain7,ac_gain8,ac_gain9,vga0,vga1,vga2,vga3,vga4,vga5,vga6,vga7,vga8,vga9,alaska_stable_lock0,alaska_stable_lock1,alaska_stable_lock2,alaska_stable_lock3,alaska_stable_lock4,alaska_stable_lock5,alaska_stable_lock6,alaska_stable_lock7,alaska_stable_lock8,alaska_stable_lock9,alaska_ber0,alaska_ber1,alaska_ber2,alaska_ber3,alaska_ber4,alaska_ber5,alaska_ber6,alaska_ber7,alaska_ber8,alaska_ber9,alaska_errors0,alaska_errors1,alaska_errors2,alaska_errors3,alaska_errors4,alaska_errors5,alaska_errors6,alaska_errors7,alaska_errors8,alaska_errors9,alaska_rx_count0,alaska_rx_count1,alaska_rx_count2,alaska_rx_count3,alaska_rx_count4,alaska_rx_count5,alaska_rx_count6,alaska_rx_count7,alaska_rx_count8,alaska_rx_count9,pre_cursor0,pre_cursor1,pre_cursor2,pre_cursor3,pre_cursor4,pre_cursor5,pre_cursor6,pre_cursor7,pre_cursor8,pre_cursor9,attenuation0,attenuation1,attenuation2,attenuation3,attenuation4,attenuation5,attenuation6,attenuation7,attenuation8,attenuation9,post_cursor0,post_cursor1,post_cursor2,post_cursor3,post_cursor4,post_cursor5,post_cursor6,post_cursor7,post_cursor8,post_cursor9,
y,y,y,y,y,y,y,y,y,y,0.0119003,0,0,0,0,0,0,0,0,0,596627798,0,0,0,0,0,0,0,0,0,50135678976,50324930560,50514534400,50703761408,50893684736,51082608640,51273826304,51466928128,51652952064,51842318336,31,31,31,31,31,31,31,31,31,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,0,7,7,7,7,7,7,7,7,7,5,5,5,5,5,5,5,5,5,5,y,y,y,y,y,y,y,y,y,y,0.0102129,0,0,0,0,0,0,0,0,0,534716223,0,0,0,0,0,0,0,0,0,52356832040,52546208940,52736536842,52924621266,53115341796,53305183800,53494426260,53684154480,53873810232,54063983094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
y,y,y,y,y,y,y,y,y,y,0.00246134,0,0,0,0,0,0,0,0,0,123513718,0,0,0,0,0,0,0,0,0,50181472256,50370805760,50560401408,50754125824,50939953152,51129524224,51324420096,51510525952,51701047296,51895500800,31,31,31,31,31,31,31,31,31,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,7,7,7,7,7,7,7,7,7,5,5,5,5,5,5,5,5,5,5,y,y,y,y,y,y,y,y,y,y,0.00323874,0,0,0,0,0,0,0,0,0,169718306,0,0,0,0,0,0,0,0,0,52402594600,52592126200,52781523894,52970890302,53160628884,53350977042,53542049154,53732655966,53922983928,54113042874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
y,y,y,y,y,y,y,y,y,y,0.000499782,0,0,0,0,0,0,0,0,0,25081014,0,0,0,0,0,0,0,0,0,50183905280,50369740800,50559516672,50754027520,50940715008,51129933824,51324682240,51508428800,51697025024,51891511296,31,31,31,31,31,31,31,31,31,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,2,7,7,7,7,7,7,7,7,7,5,5,5,5,5,5,5,5,5,5,y,y,y,y,y,y,y,y,y,y,0.000664017,0,0,0,0,0,0,0,0,0,34795297,0,0,0,0,0,0,0,0,0,52401198180,52591143520,52781316390,52971488856,53162188992,53351607012,53541748656,53729027022,53918775900,54108421554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
y,y,y,y,y,y,y,y,y,y,4.02942e-05,0,0,0,0,0,0,0,0,0,2022266,0,0,0,0,0,0,0,0,0,50187509760,50381389824,50567159808,50757124096,50951012352,51141001216,51326902272,51516391424,51704897536,51899154432,31,31,31,31,31,31,31,31,31,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,3,7,7,7,7,7,7,7,7,7,5,5,5,5,5,5,5,5,5,5,y,y,y,y,y,y,y,y,y,y,4.26626e-05,0,0,0,0,0,0,0,0,0,2235890,0,0,0,0,0,0,0,0,0,52408682040,52598482720,52788128250,52978300914,53168142852,53358439464,53548405614,53736883068,53926125528,54115667628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
y,y,y,y,y,y,y,y,y,y,1.18737e-06,0,0,0,0,0,0,0,0,0,59565,0,0,0,0,0,0,0,0,0,50165506048,50353700864,50543394816,50732703744,50926739456,51111854080,51301875712,51491299328,51684950016,51874390016,31,31,31,31,31,31,31,31,31,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,4,7,7,7,7,7,7,7,7,7,5,5,5,5,5,5,5,5,5,5,y,y,y,y,y,y,y,y,y,y,1.19671e-06,0,0,0,0,0,0,0,0,0,62691,0,0,0,0,0,0,0,0,0,52386198360,52575337320,52764228396,52954245828,53143168056,53332792788,53522985912,53712724890,53902060146,54091819320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
y,y,y,y,y,y,y,y,y,y,2.57278e-09,0,0,0,0,0,0,0,0,0,129,0,0,0,0,0,0,0,0,0,50140282880,50334449664,50524512256,50710896640,50905710592,51094986752,51283542016,51472261120,51660832768,51846389760,31,31,31,31,31,31,31,31,31,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,5,7,7,7,7,7,7,7,7,7,5,5,5,5,5,5,5,5,5,5,y,y,y,y,y,y,y,y,y,y,2.67369e-09,0,0,0,0,0,0,0,0,0,140,0,0,0,0,0,0,0,0,0,52362030140,52551345000,52741889772,52933716198,53122958856,53311922136,53500482288,53689145598,53877560946,54067279068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
y,y,y,y,y,y,y,y,y,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50149933056,50336825344,50528788480,50718621696,50908561408,51102687232,51290046464,51479412736,51670409216,51862503424,31,31,31,31,31,31,31,31,31,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,6,7,7,7,7,7,7,7,7,7,5,5,5,5,5,5,5,5,5,5,y,y,y,y,y,y,y,y,y,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52367922360,52558870240,52749890688,52940208156,53130515064,53320977336,53511449838,53701798260,53890554828,54079621332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
y,y,y,y,y,y,y,y,y,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50130903040,50321317888,50515566592,50701287424,50889695232,51080437760,51274244096,51461283840,51650396160,51844923392,31,31,31,31,31,31,31,31,31,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,7,7,7,7,7,7,7,7,7,7,5,5,5,5,5,5,5,5,5,5,y,y,y,y,y,y,y,y,y,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52352467980,52542940620,52732575654,52922448612,53112424926,53301605544,53491550574,53682726174,53872444164,54062451432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
y,y,y,y,y,y,y,y,y,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50148270080,50338414592,50532401152,50719268864,50912714752,51103793152,51299205120,51485220864,51675078656,51869761536,31,31,31,31,31,31,31,31,31,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,8,7,7,7,7,7,7,7,7,7,5,5,5,5,5,5,5,5,5,5,y,y,y,y,y,y,y,y,y,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52369524320,52559604240,52750366086,52941200334,53134556706,53325783984,53516855964,53706522276,53896612176,54086774478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
y,y,y,y,y,y,y,y,y,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50135572480,50330861568,50520252416,50705498112,50896101376,51084500992,51275890688,51466379264,51660464128,51846635520,31,31,31,31,31,31,31,31,31,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,9,7,7,7,7,7,7,7,7,7,5,5,5,5,5,5,5,5,5,5,y,y,y,y,y,y,y,y,y,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52357533160,52547943560,52737351414,52927193088,53116125480,53306308308,53497494270,53687181174,53877757098,54068405226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
